url,price,title,description,overview,items,amenities,ratings
https://www.airbnb.com/rooms/899639968336832498,"₴18,939 for 5 nights, originally ₴26,500",Central Cool Apt with balcony - L11,"We're pleased to offer you a comfortable and peaceful apartment with a lovely balcony where you can relax. The flat has been recently updated with new amenities. You can reach Wenceslas Square in just an 18-minute walk, or take a 7-minute stroll to the nearest metro and tram stop, I.P Pavlova.<br /><br /><b>The space</b><br />This apartment is on the 5th floor and can be reached with a lift. It's one floor up from the ground floor.<br /><br />The apartment has one bedroom with a double bed and a single bed. The living room has a sofa bed where two people can sleep. If you need extra sleeping space, we can provide an air bed mattress.<br /><br />We provide you:<br />* fresh bed linens & towels<br />* shower gel, shampoo<br /><br />The apartment is composed by:<br />1) Wide bedroom with double bed (premium mattress 160x200), a wardrobe with hangers, a working place, and a balcony where you can sit in the peaceful courtyard<br /><br />Crib is also available on request during reservation.<br /><br />2) Bright living room with a sofa that can be converted as a comfortable double bed, dining table for 6 people, and a fully equipped kitchen with place prepare your dishes for friends or family.<br /><br />3) Bathroom: bathtub, sink, modern hairdryer, bathroom cabinet, washing machine, mirror, and towel hangers.<br /><br />4) Entrance with the coat hanger where you can leave your shoes<br /><br />The apartment has all the essential amenities to ensure a comfortable stay for you.<br />+Coffee machine (NESPRESSO) CAPSULES ARE NOT PROVIDED<br />+ Kettle<br />+Toaster<br />+Electric oven <br />+Different dishes, pots, cups, glasses<br />+Citrus squeezer<br />+Iron and ironing board <br />+Hair dryer<br />+Free usage of instant coffee powder, herbal teas, sugar, salt, etc.<br />+Washing machine (LAUNDRY GEL IS NOT PROVIDED)<br />+Baby high chair on request<br />+Baby crib on request<br /><br />Our apartment was designed by a professional architect and tested for comfort by experienced travelers for over 20 years.<br /><br /><b>Guest access</b><br />You’ll have full access to the entire house.<br /><br />We're committed to making your stay as enjoyable as possible, and your preferences truly matter in helping us achieve that.<br /><br />Please don’t hesitate to contact me at any time during your stay.<br /><br /><b>Other things to note</b><br />House Rules & Important Information<br /><br />Our apartment is regularly maintained and cleaned to high standards.<br />Please help us keep it that way by maintaining order during your stay and reporting any issues or concerns you may experience.<br /><br />🚫 Please avoid bringing food or dirty items into the bed area.<br />Excessive stains or damage to bed linens and towels may result in an extra cleaning fee.<br /><br />🔇 Be respectful of neighbors.<br />Avoid loud noise, unruly behavior, or disturbances, especially in shared spaces.<br /><br />👥 Guest Policy:<br />The apartment has a strict maximum occupancy limit.<br />Visitors are welcome, but overnight stays by unregistered guests are not allowed.<br /><br />🚨 Strict Rules (Penalty: €100 for violations)<br /><br />- Quiet hours after 10:00 PM<br />- No smoking<br />- No parties or events inside the unit<br /><br />💰 Tourist Tax Notice:<br />A compulsory city tax of 50 CZK per person per night must be paid by guests upon arrival.","Entire rental unit in Prague 2, Czechia","['5 guests', '1 bedroom', '3 beds', '1 bath']","['City skyline view', 'Courtyard view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'TV', 'Crib - available upon request', 'Pack ’n play/Travel crib', 'High chair - available upon request', 'Children’s dinnerware', 'Changing table', 'Portable fans', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Induction stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Coffee', 'Private patio or balcony', 'Elevator', 'Paid parking off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Cleaning available during stay']","['Rated 4.9 out of 5 stars for cleanliness', 'Rated 4.9 out of 5 stars for accuracy', 'Rated 5.0 out of 5 stars for check-in', 'Rated 4.9 out of 5 stars for communication', 'Rated 4.9 out of 5 stars for location', 'Rated 4.9 out of 5 stars for value']"
https://www.airbnb.com/rooms/1654448905983790372,"₴56,561 for 5 nights",Kafka Apartments | 3BR near Wenceslas square,"Set on the 3rd floor of a peaceful residential building on Vladislavova street, this apartment offers a rare combination in Prague 1: a genuinely tranquil setting just minutes on foot from everything that draws visitors to the city. Old Town Square, Charles Bridge, and the National Theatre are all under a 15-minute walk away.<br /><br /><b>The space</b><br />A central, quiet retreat in the heart of Prague's New Town<br /><br />Set on the 3rd floor of a peaceful residential building on Vladislavova street, this apartment offers a rare combination in Prague 1: a genuinely tranquil setting just minutes on foot from everything that draws visitors to the city. Old Town Square, Charles Bridge, and the National Theatre are all under a 15-minute walk away.<br /><br />About Heller Home<br />Heller Home s.r.o. is a privately owned company, passionately organized and known for outstanding, professional service. Every member of our team works to make your stay in our exclusive apartments a seamless one.<br /><br />The apartment<br />Seductive and striking, this three-bedroom, 115 m² apartment sits in the heart of the prestigious New Town — tucked into a quiet residential building, yet only a stone's throw from Wenceslas Square and minutes from Old Town Square and Charles Bridge. The location is ideal for exploring everything Prague has to offer.<br /><br />Reflecting the urban character of the right-bank neighborhood, the apartment is within walking distance of landmarks including Na Příkopě street, the National Museum, the National Theatre, and Republic Square.<br /><br />The neighborhood<br />This part of the city is loved for its lively atmosphere — cafés, restaurants, bars, classic Czech pubs, excellent nightlife, and an impressive range of shops: bakery, grocery, fishmonger, butcher, greengrocer, and gourmet food shop. For high-end shopping, Pařížská street is a short walk away.<br /><br />The experience<br />The apartment epitomizes discreet luxury. The quality of the facilities and furnishings is beyond comparison, and combined with a truly enviable location, the result is an awe-inspiring home designed to make your visit to Prague memorable.<br /><br />Getting around<br />The area is easily explored on foot, and Prague's tram and metro network handles the rest with ease. The Lázarská tram stop and Národní třída metro station are right on your doorstep, connecting you effortlessly to the rest of the city.<br /><br />Building note<br />The apartment is on the third floor of a building with a lift. Please note that this is a small lift, accommodating two people at a time.<br /><br />Property layout:<br /><br />3 bedrooms<br />2 bathrooms<br />Living room / dining area<br />Make-up room<br />Kitchen<br />2 separate guest toilets<br />Utility room<br />1 small terrace<br /><br />Beds: 3 king-size beds, each with the option to split into single beds.<br /><br />In-apartment highlights<br />WiFi, large Smart TV, Nespresso machine, hair dryers, washing machine, dryer, and ironing facilities. Hotel-grade mattresses, make-up mirror, and the option to split beds.<br /><br />Complimentary<br />Nespresso pods; a range of teas (black, green, and a wide selection of flavored); sugar, salt, pepper, olive oil; shower gel and soap; washing machine and dishwasher capsules.<br /><br />Address<br />Vladislavova, Prague 1<br />Nearby (distances)<br /><br />Old Town — 150 m<br />Wenceslas Square — 200 m<br />Na Příkopě street — 200 m<br />National Theatre — 250 m<br />Charles Bridge — 400 m<br />Jewish Town (Josefov) — 500 m<br />Pařížská street — 500 m<br />Parking — 100 m<br />Tram stop — 20 m<br />Metro station — 100 m<br /><br />House rules & restrictions<br /><br />This apartment is not suitable for young groups.<br /><br />Parties of any kind (stag, hen, bachelor, etc.) are strictly forbidden.<br />Hostesses and escort services are strictly forbidden.<br />The apartment is non-smoking.<br /><br />We are not flexible on these points. Due to serious past issues with neighbors, we strictly enforce these conditions and will not accept such guests on arrival.<br />If you have any doubts, please contact us before booking.","Entire rental unit in Prague 1, Czechia","['8 guests', '3 bedrooms', '8 beds', '2.5 baths']","['Bathtub', 'Washer', 'TV', 'Crib - available upon request', 'Noise decibel monitors on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Coffee maker: Nespresso', 'Baking sheet', 'Coffee', 'Host greets you']",N/A
https://www.airbnb.com/rooms/1582166269609610761,"₴20,733 for 5 nights, originally ₴29,574",Modern Old Town Suite w/Terrace • Walk Everywhere,"Just a short 7-minute walk from Prague’s magical Old Town, this cozy retreat places you at the heartbeat of the city. Step outside and you’re instantly surrounded by stylish cafés, buzzing eateries, hidden cocktail bars, and charming shops waiting to be discovered.<br /><br />Whether you're into street food, design, or culture, everything’s around the corner. Start your day with great coffee, explore like a local, and come home to comfort and calm. The perfect launchpad for your Prague experience.","Entire home in Prague 1, Czechia","['4 guests', '1 bedroom', '2 beds', '1 bath']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Dryer –\xa0In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'Ethernet connection', 'Heating', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Dining table', 'Coffee', 'Laundromat nearby', 'Private patio or balcony', 'Outdoor furniture', 'Elevator', 'Single level home', 'Long term stays allowed', 'Self check-in', 'Smart lock']","['Rated 5.0 out of 5 stars for cleanliness', 'Rated 5.0 out of 5 stars for accuracy', 'Rated 5.0 out of 5 stars for check-in', 'Rated 5.0 out of 5 stars for communication', 'Rated 5.0 out of 5 stars for location', 'Rated 5.0 out of 5 stars for value']"
https://www.airbnb.com/rooms/1557068445069902595,"₴15,030 for 5 nights",Apartment in the center of Prague - Ječná,"The apartment is new, clean and comfortable for your stay in Prague. It is close to all the historical monuments and businesses you can visit.","Entire rental unit in Prague 2, Czechia","['2 guests', '1 bedroom', '1 bed', '1 bath']","['Hot water', 'Washer', 'Essentials', 'Bed linens', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Wifi', 'Kitchen', 'Dining table', 'Self check-in', 'Lockbox']","['Rated 5.0 out of 5 stars for cleanliness', 'Rated 4.9 out of 5 stars for accuracy', 'Rated 4.9 out of 5 stars for check-in', 'Rated 4.8 out of 5 stars for communication', 'Rated 4.9 out of 5 stars for location', 'Rated 4.9 out of 5 stars for value']"
https://www.airbnb.com/rooms/1686977650251380779,"₴18,424 for 5 nights",Golden Dream Studio with Xbox & Games in Center,Enjoy a stylish space experience in the action.,"Entire rental unit in Prague 2, Czechia","['3 guests', 'Studio', '2 beds', '1 bath']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage: closet and dresser', 'TV', 'Game console', 'Board games', 'Central heating', 'Exterior security cameras on property', 'Smoke alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Hot water kettle', 'Coffee maker: french press, Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Coffee', 'Paid parking garage off premises', 'Luggage dropoff allowed', 'Long term stays allowed']",N/A
https://www.airbnb.com/rooms/799854263246019153,"₴19,779 for 5 nights, originally ₴30,484",KH’s Brand New Spacious Studio,"Enjoy our brand new spacious studio  located in the heart of Prague. Our studio is newly rebuilt and newly refurbished. It is also fully equipped. The location of our Airbnb is truly superior. We are walking distance to most of Prague’s main tourist attractions.<br /><br /><b>The space</b><br />Our studio is brand new so you can expect the highest quality. <br />The studio is spacious and we believe that it has everything that you may need for your perfect stay. <br />The studio has a bathroom, toilet with a sink, spacious kitchen connected to the living room. After your long day of exploring Prague you will be pleased with our large and comfy king size bed. If you still need to have a work done, you can use our small working space. <br />From our studio you can directly access a private patio where you can relax.<br /><br /><b>Guest access</b><br />The studio is all yours. It’s not shared with anyone.<br /><br /><b>Other things to note</b><br />City of Prague has a obligatory city tax of 2€/per person/per night. <br />This city tax excludes people that have a permanent residency in Prague and youth (under 18). <br />I will send you a payment information in advance.<br />If you are interested in an airport pickup we can provide it to you for additional 50 €. Please inform us in advance.<br />The price includes accommodation for up to 3 guests. For each additional guest, there is an extra charge of 530 CZK per night. This fee is automatically applied by the platform when selecting the number of guests during booking.","Entire rental unit in Prague 8, Czechia","['3 guests', '1 bedroom', '1 bed', '1.5 baths']","['Garden view', 'Hair dryer', 'Cleaning products', 'Botanica shampoo', 'Botanica conditioner', 'Botanica body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Safe', 'Clothing storage: closet, wardrobe, and dresser', '43 inch HDTV with Netflix', 'Portable fans', 'Central heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Fast wifi – 62 Mbps', 'Dedicated workspace', 'Kitchen', 'Bosch refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Bosch induction stove', 'Bosch single oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Coffee', 'Private patio or balcony', 'Paid parking on premises', 'Single level home', 'Pets allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Cleaning available during stay']","['Rated 5.0 out of 5 stars for cleanliness', 'Rated 5.0 out of 5 stars for accuracy', 'Rated 5.0 out of 5 stars for check-in', 'Rated 5.0 out of 5 stars for communication', 'Rated 4.9 out of 5 stars for location', 'Rated 4.9 out of 5 stars for value']"
https://www.airbnb.com/rooms/2006767,"₴14,704 for 5 nights, originally ₴21,747",Van Gogh's apartment in the center,"Bright apartment with separate bedroom and great location is ideal for friends or family up to 3 people. The apartment is well equipped and has everything for your comfortable stay: smart TV, washing machine, stove and oven, safe and etc.<br />The building has a courtyard with a fountain and benches.<br />You will enjoy easy walking distance to everything from this central location. Tram station and metro are in few minutes by walk from where you can go anywhere in beautiful Prague.<br /><br /><b>The space</b><br />Apartment is equipped with everything necessary for your comfortable stay.<br /><br />Bright separate bedroom with: <br />- double comfortable bed – 160x200 cm  <br />- 2 bedside tables<br />- 2 bedside lamps<br />- wardrobe <br />- fresh bed linen <br /> <br />In the living room there are: <br />- comfy sofa 140x200 cm<br />- smart TV <br />- table with office chair<br /> <br />Fully equipped kitchen, complete with modern appliances: <br />- stove and oven <br />- microwave <br />- fridge <br />- kitchen table<br />- kitchenware (as spoons, forks, knives, cups, dishes, pans, glasses etc.) <br />tea, coffee, sugar and salt <br /> <br />Pristine bathroom, stocked with: <br />- washing machine <br />- bidet <br />- hair dryer <br />- shampoo <br />- soap <br />- toilet paper <br />- fluffy towels for your comfort<br /><br />Fully equipped kitchen, complete with modern appliances and ample space for culinary adventures will allow you to whip up gourmet meals and enjoy a cozy night in. <br />Stay connected and productive with high-speed Wi-Fi throughout the apartment, perfect for remote work or streaming your favourite shows. <br />Whether you're traveling for business or leisure, our apartment provides the perfect blend of sophistication and functionality for an unforgettable stay.<br /><br /><b>Guest access</b><br />Please feel free to use everything you will find in the apartment.<br /><br />You will also have access to:<br />- unlimited Wi-Fi;<br />- fresh towels and bed linen;<br />- hair dryer;<br />- crockery and cutlery;<br />- iron and ironing board;<br />- smart TV;<br />- washing machine;<br />- baby cot (on request);<br />- tea, coffee, sugar, salt and whatever you will find in the kitchen cabinet;<br />- recommendations and support from us during your stay.<br /><br /><b>Other things to note</b><br />Rest assured, your safety and well-being are our top priorities. We adhere to rigorous cleaning protocols to ensure a pristine and hygienic environment for every guest. <br /><br />We respect our neighbours, so we kindly ask you not to have noisy parties after 10 pm. <br /><br />Smoking is not allowed in the apartments.<br /><br />In addition, we can provide you with a baby cot upon request (10 euro/night).","Entire rental unit in Prague, Czechia","['3 guests', '1 bedroom', '2 beds', '1 bath']","['Hair dryer', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Safe', 'Clothing storage: closet', 'Ethernet connection', 'TV with standard cable', 'Crib - available upon request', 'Pack ’n play/Travel crib - available upon request', 'High chair - available upon request', 'Portable fans', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Electric stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Dining table', 'Coffee', 'Backyard', 'Elevator', 'Paid street parking off premises', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox']","['Rated 4.7 out of 5 stars for cleanliness', 'Rated 4.8 out of 5 stars for accuracy', 'Rated 4.8 out of 5 stars for check-in', 'Rated 4.8 out of 5 stars for communication', 'Rated 4.7 out of 5 stars for location', 'Rated 4.7 out of 5 stars for value']"
https://www.airbnb.com/rooms/1655838219126579244,"₴31,756 for 5 nights",Place of Grace - Bright Attic Loft in Old Town,"Experience Prague from this elegant and spacious city center apartment located in a distinctive courtyard residence on Lodecká Street. Designed with comfort and simplicity in mind, the apartment offers a bright living space, generous bedroom, modern kitchen, refined bathroom, and a  workspace. comfort of a stationary A/С system Tucked away in a peaceful setting yet close to everything, guests will also find a Michelin-recognized restaurant offering a special discount exclusively for our guests.<br /><br /><b>The space</b><br />Step into a truly unique Prague experience — a beautifully designed attic loft where historic charm meets modern comfort.<br />Located in a quiet courtyard at Lodecká , this apartment offers a rare combination of privacy and central location. Just minutes from Prague’s main attractions, yet tucked away from the шум города, it’s the perfect balance for both relaxation and exploration.<br />The space is defined by its stunning exposed wooden beams, high vaulted ceilings, and warm natural materials that create an inviting and cozy atmosphere. The open-plan living area with 2 sofa beds features a comfortable lounge, a stylish dining space, and a fully equipped kitchen — ideal for both short and longer stays.<br />The loft sleeping area adds a touch of character and uniqueness, while the elegant bathroom with a freestanding bathtub provides a boutique hotel feel.<br />✨ What makes this place special:<br />- Сomfort of a stationary A/С  system<br />-  Authentic attic architecture with original wooden beams<br />- Thoughtfully curated design with warm, natural tones<br />- Spacious and airy layout with high ceilings<br />- Quiet inner courtyard location<br />- Fully equipped kitchen and comfortable living area<br />- Unique loft sleeping space<br />- Elegant bathroom with a freestanding tub<br />Whether you’re visiting Prague for a romantic getaway, a city break, or a longer stay, this apartment offers a memorable and stylish retreat.","Entire rental unit in Prague 1, Czechia","['6 guests', '1 bedroom', '3 beds', '1 bath']","['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Washer', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'TV', 'Pack ’n play/Travel crib', 'High chair', 'Central air conditioning', 'Portable fans', 'Heating', 'Smoke alarm', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Dishwasher', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Baking sheet', 'Dining table', 'Coffee', 'Paid parking off premises', 'Pets allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox']","['Rated 5.0 out of 5 stars for cleanliness', 'Rated 5.0 out of 5 stars for accuracy', 'Rated 5.0 out of 5 stars for check-in', 'Rated 5.0 out of 5 stars for communication', 'Rated 5.0 out of 5 stars for location', 'Rated 5.0 out of 5 stars for value']"
https://www.airbnb.com/rooms/1143380024292010008,"₴16,225 for 5 nights, originally ₴22,054",Romantic apartment by the park - U7,"Unwind in comfort and style in this serene, thoughtfully designed space.<br /><br />Immerse yourself in the local vibe and discover the best of Prague 7! Nestled in the city’s trendiest neighborhood, our apartment is surrounded by vibrant cafes, restaurants, and pubs. You'll also be just steps away from the lush greenery of Letná and Stromovka parks. With the city center only three tram stops away, you’ll enjoy the perfect balance of excitement and relaxation.<br /><br /><b>The space</b><br />The apartment is situated on the 1st floor (one level above the ground floor) and includes:<br /><br />- A stylish and cozy bedroom featuring a queen-size bed and a spacious wardrobe<br />- A comfortable living area where you can unwind after a day of exploring and stream your favorite Netflix shows<br />- A large bathroom equipped with a shower, toilet, and bidet<br />- A fully equipped kitchen with all the essential amenities for cooking at home<br /><br />Whether you're here to explore, relax, or both, this space is your perfect Prague retreat.<br /><br />The apartment has all the essential amenities to ensure a comfortable stay for you.<br />~> Coffee machine (Dolce gusto) CAPSULES ARE NOT PROVIDED<br />~> Kettle<br />~> Toaster<br />~> Electric oven <br />~> Different dishes, pots, cups, glasses<br />~> Citrus squeezer<br />~> Iron and ironing board <br />~> Hair dryer<br />~> Free usage of instant coffee powder, herbal teas, sugar, salt, etc.<br />~> Washing machine (LAUNDRY GEL IS NOT PROVIDED)<br />~> Baby high chair on request<br />~> Baby crib on request<br /><br />Our apartment was designed by a professional architect and tested for comfort by experienced travelers for over 20 years.<br /><br /><b>Guest access</b><br />You will have full access to the house. Your preferences are important to us and we are committed to making sure you have a wonderful experience. Please don't hesitate to contact me if you need anything during your stay.<br /><br /><b>Other things to note</b><br />House Rules & Important Information<br /><br />Our apartment is regularly maintained and cleaned to high standards.<br />Please help us keep it that way by maintaining order during your stay and reporting any issues or concerns you may experience.<br /><br />🚫 Please avoid bringing food or dirty items into the bed area.<br />Excessive stains or damage to bed linens and towels may result in an extra cleaning fee.<br /><br />🔇 Be respectful of neighbors.<br />Avoid loud noise, unruly behavior, or disturbances, especially in shared spaces.<br /><br />👥 Guest Policy:<br />The apartment has a strict maximum occupancy limit.<br />Visitors are welcome, but overnight stays by unregistered guests are not allowed.<br /><br />🚨 Strict Rules (Penalty: €100 for violations)<br /><br />- Quiet hours after 10:00 PM<br />- No smoking<br />- No parties or events inside the unit<br /><br />💰 Tourist Tax Notice:<br />A compulsory city tax of 50 CZK per person per night must be paid by guests upon arrival.","Entire rental unit in Prague 7, Czechia","['4 guests', '1 bedroom', '2 beds', '1 bath']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', '40 inch HDTV', 'Crib - available upon request', 'High chair - available upon request', 'Portable fans', 'Central heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Gas stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Coffee', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed']","['Rated 4.8 out of 5 stars for cleanliness', 'Rated 4.8 out of 5 stars for accuracy', 'Rated 4.7 out of 5 stars for check-in', 'Rated 4.9 out of 5 stars for communication', 'Rated 4.9 out of 5 stars for location', 'Rated 4.8 out of 5 stars for value']"
https://www.airbnb.com/rooms/1682046296228747091,"₴17,696 for 5 nights","Smart Tiny Studio in Prague 1 / Xbox, TV, Games","Modern and bright mini apartment (18 m²) in the very center of Prague, located in Soukenická street just minutes from Republic Square. Everything is within walking distance – restaurants, cafés, bars and shops are right around the corner. The apartment features 2 street-facing windows, a fully equipped kitchen, Netflix and Xbox Game Pass. The sofa bed can be expanded from 80x200 to a comfortable 160x200 cm. Newly furnished, cozy and perfect for exploring Prague.<br /><br /><b>The space</b><br />This modern, newly furnished and bright mini apartment (18 m²) is located in the heart of Prague 1, in the popular Soukenická street. Thanks to two street-facing windows, the apartment feels airy and pleasant, although guests should keep in mind its compact size. It is a perfect choice for visitors who want everything within walking distance – restaurants, cafés, bars, shops and Prague’s main attractions are just minutes away. The apartment features a sofa bed sized 80x200 cm that can easily be expanded into a comfortable 160x200 cm bed for two guests. Guests can enjoy a TV with Netflix and Xbox Game Pass, as well as board games for relaxing evenings. The fully equipped kitchen includes a microwave, dishwasher, Nespresso coffee machine, electric kettle, toaster and all basic cooking essentials. There is also a dining table with two comfortable armchairs. The bathroom is equipped with a shower, toilet and sink.<br /><br /><b>Guest access</b><br />Guests have access to the entire private apartment, including a private bathroom, ensuring maximum comfort and privacy throughout the stay. Access to both the building and the apartment is fully self-service via access codes, making check-in simple and convenient without the need for physical keys or in-person key handover.<br /><br /><b>Other things to note</b><br />Arrival Form<br /><br />After booking, we will send you a form for online check-in. You are legally required to fill out this form. We must report every guest to the local authorities, pay fees, or report foreign guests to the foreign police, just like hotels and guesthouses do.<br /><br />Check-in<br /><br />Check-in is possible from 3:00 PM. If you plan to arrive earlier, please let us know at least a day in advance, and we will try to arrange for the apartment to be cleaned earlier. However, this depends on several factors, and we cannot guarantee that we will always be able to accommodate your request. We always strive to meet our guests' needs as much as possible. The day before your arrival, we will send you instructions on how to access the apartment.<br /><br />Quiet Hours<br /><br />Please observe the quiet hours ordinance from 10:00 PM to 8:00 AM and treat the house with respect, not only towards our property but also towards the neighbors.","Entire rental unit in Prague 1, Czechia","['2 guests', 'Studio', '1 bed', '1 bath']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Bed linens', 'Room-darkening shades', 'Iron', 'Clothing storage: closet', 'TV', 'Game console: Xbox One', 'Books and reading material', 'Board games', 'Central heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Other electric stove', 'Hot water kettle', 'Coffee maker: french press, Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Coffee', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Smart lock']",N/A
